Material,Density,SchNet,GemNet,MEGNet,CatBoost,Sparse (MEGNet)
combined,both,"(505.0832837963507, 16.249138371775715)","(351.67867524152166, 104.22326615931574)","(109.45150347134464, 15.604218258722787)","(141.93834661719785, 4.740205878013104)","(37.12961216681209, 1.8653924646255493)"
BP,high,"(1529.6842997923284, 101.66603337664759)","(778.7407244681087, 90.75775328468526)","(110.35210168563557, 17.094340809577037)","(333.7209053706325, 24.494160688320065)","(69.04666838608527, 7.482603621255173)"
GaSe,high,"(177.0148377864028, 10.951088877063487)","(144.72892793473682, 10.39214740954753)","(77.75360172641052, 18.65003504308287)","(83.90442797114515, 2.7975783573082897)","(39.4548020152457, 3.089926475685759)"
InSe,high,"(157.5804238058182, 11.407038932619676)","(156.51504779584442, 13.031605861337358)","(71.7974475751981, 10.934479690392191)","(123.57183489813032, 4.413045664410519)","(34.71360349626212, 3.5717846664482527)"
MoS2,high,"(307.5252986444932, 12.699951827155513)","(505.6761901872396, 286.0757352060689)","(98.99355193317513, 23.823741283558213)","(90.09099966791118, 3.175492553243241)","(21.24221624013723, 2.472885805938334)"
WSe2,high,"(423.725818599929, 27.68915942510826)","(620.8231309856557, 408.903136733105)","(103.40613761316897, 21.909046809258886)","(194.30053801196993, 4.979640439883026)","(25.548699410347634, 2.5877362364905014)"
h-BN,high,"(1341.3155451313694, 45.352759715525934)","(541.7062638964135, 252.49726068630358)","(323.42439814560345, 92.36553330827796)","(279.2397609962369, 12.545228855061781)","(97.78262604363515, 7.881736457105916)"
MoS2,low,"(48.214616748103516, 2.5460358263901215)","(33.59649544898907, 8.424670788582363)","(44.74393751007077, 11.107879862867641)","(12.91911529617288, 0.5409516307754222)","(3.8672938087871365, 1.120698530819322)"
WSe2,low,"(55.14690717046425, 4.62883152299694)","(31.31979580178578, 8.44940232110122)","(45.07558098224438, 7.069185866389434)","(17.63109710622036, 0.506558346096433)","(5.348098755619905, 0.48161416815822544)"
